city,state_id,state_name,lat,lng,timezone
New York,NY,New York,40.6943,-73.9249,America/New_York
Los Angeles,CA,California,34.1141,-118.4068,America/Los_Angeles
Chicago,IL,Illinois,41.8375,-87.6866,America/Chicago
Miami,FL,Florida,25.784,-80.2101,America/New_York
Houston,TX,Texas,29.786,-95.3885,America/Chicago
Dallas,TX,Texas,32.7935,-96.7667,America/Chicago
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,America/New_York
Atlanta,GA,Georgia,33.7628,-84.422,America/New_York
Washington,DC,District of Columbia,38.9047,-77.0163,America/New_York
Boston,MA,Massachusetts,42.3188,-71.0852,America/New_York
Phoenix,AZ,Arizona,33.5722,-112.0892,America/Phoenix
Detroit,MI,Michigan,42.3834,-83.1024,America/Detroit
Seattle,WA,Washington,47.6211,-122.3244,America/Los_Angeles
San Francisco,CA,California,37.7558,-122.4449,America/Los_Angeles
San Diego,CA,California,32.8313,-117.1222,America/Los_Angeles
Minneapolis,MN,Minnesota,44.9635,-93.2678,America/Chicago
Tampa,FL,Florida,27.9945,-82.4447,America/New_York
Brooklyn,NY,New York,40.6501,-73.9496,America/New_York
Denver,CO,Colorado,39.762,-104.8758,America/Denver
Queens,NY,New York,40.7498,-73.7976,America/New_York
Riverside,CA,California,33.9381,-117.3949,America/Los_Angeles
Las Vegas,NV,Nevada,36.2333,-115.2654,America/Los_Angeles
Baltimore,MD,Maryland,39.3051,-76.6144,America/New_York
St. Louis,MO,Missouri,38.6359,-90.2451,America/Chicago
Portland,OR,Oregon,45.5371,-122.65,America/Los_Angeles
San Antonio,TX,Texas,29.4632,-98.5238,America/Chicago
Sacramento,CA,California,38.5677,-121.4685,America/Los_Angeles
Austin,TX,Texas,30.3005,-97.7522,America/Chicago
Orlando,FL,Florida,28.4773,-81.337,America/New_York
San Juan,PR,Puerto Rico,18.3985,-66.061,America/Puerto_Rico
San Jose,CA,California,37.3012,-121.848,America/Los_Angeles
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,America/New_York
Indianapolis,IN,Indiana,39.7771,-86.1458,America/Indiana/Indianapolis
Manhattan,NY,New York,40.7834,-73.9662,America/New_York
Cincinnati,OH,Ohio,39.1413,-84.506,America/New_York
Kansas City,MO,Missouri,39.1238,-94.5541,America/Chicago
Cleveland,OH,Ohio,41.4764,-81.6805,America/New_York
Columbus,OH,Ohio,39.9862,-82.9855,America/New_York
Bronx,NY,New York,40.8501,-73.8662,America/New_York
Virginia Beach,VA,Virginia,36.7335,-76.0435,America/New_York
Charlotte,NC,North Carolina,35.2083,-80.8303,America/New_York
Milwaukee,WI,Wisconsin,43.0642,-87.9675,America/Chicago
Providence,RI,Rhode Island,41.823,-71.4187,America/New_York
Jacksonville,FL,Florida,30.3322,-81.6749,America/New_York
Nashville,TN,Tennessee,36.1715,-86.7842,America/Chicago
Salt Lake City,UT,Utah,40.7776,-111.9311,America/Denver
Raleigh,NC,North Carolina,35.8324,-78.6429,America/New_York
Richmond,VA,Virginia,37.5295,-77.4756,America/New_York
Memphis,TN,Tennessee,35.1087,-89.9663,America/Chicago
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,America/Chicago
Hartford,CT,Connecticut,41.7661,-72.6834,America/New_York
Louisville,KY,Kentucky,38.1663,-85.6485,America/New_York
Buffalo,NY,New York,42.9018,-78.8487,America/New_York
New Orleans,LA,Louisiana,30.0687,-89.9288,America/Chicago
Fort Worth,TX,Texas,32.7817,-97.3474,America/Chicago
Bridgeport,CT,Connecticut,41.1918,-73.1954,America/New_York
Tucson,AZ,Arizona,32.1541,-110.8787,America/Phoenix
El Paso,TX,Texas,31.8476,-106.43,America/Denver
Omaha,NE,Nebraska,41.2627,-96.0529,America/Chicago
McAllen,TX,Texas,26.2252,-98.2467,America/Chicago
Birmingham,AL,Alabama,33.5279,-86.7971,America/Chicago
Albuquerque,NM,New Mexico,35.1054,-106.6465,America/Denver
